id,premise,hypothesis,lang_abv,language,label
6c6d58895e,"El cercano Xlapak tiene solo un edificio principal, un palacio, pero Labna es el último punto Puuc del recorrido, hay muchos edificios para explorar.",Xlapak tiene un palacio.,es,Spanish,0
43fe31e071,"42 जैसा कि मैंने अध्याय 2 में समझाया, गतिशीलता और परिपक्व व्यवहार की अपेक्षाओं का संयोजन यह है कि औपचारिक पालन-पोषण कुशल मित्रों से संबंधित है।",एक औपचारिक पेरेंटिंग शैली बच्चों को समाज में एक अच्छी भूमिका निभाने की अनुमति देती है।,hi,Hindi,1
e3abfba334,أنا لا أتخلى عن أمر الملك بسهولة.,ولم تتردد في التوقيع على جائزة لجنة الملك.,ar,Arabic,2
2aa2922a14,Estaré encantado de responder cualquier pregunta que puedan tener los miembros del subcomité.,Me encantaría responder a la pregunta.,es,Spanish,0
29666369c9,Veuillez éviter de vous faire prendre dans notre liste obsolète de donateurs.,"La liste de nos donateurs décédés est rendue publique, alors croyez-moi, vous ne voulez pas être humilié comme ça!",fr,French,1
d28972e5c5,"Vì vậy, tôi không chắc chắn tại sao.",Tôi không biết tại sao anh ấy lại muốn chuyển trường.,vi,Vietnamese,1
37e97dbd43,ค่าเฉลี่ยทางสถิติเป็นรากของลำดับของสิ่งมีชีวิตหรือไม่?,เห็นได้ชัดว่ามันจัดอยู่ในกลุ่มสิ่งมีชีวิต,th,Thai,0
45faf1f989,لا يستطيع الجمهور الرؤية ، فلكل جمهور غرفة صغيرة خاصة به تسمى غرفة المعيشة.,تستطيع أن ترى الجمهور.,ar,Arabic,2
f2d904292f,"Hata ikiwa alikuwa akitabasamu, alijua hii, kwa sababu Pitt alijua kwamba wakati alienda kusini asubuhi hiyo, alikuwa mikononi mwake mwenyewe maisha yake yote.",Alijua atakuwa salama ikiwa ataingia mtoni.,sw,Swahili,2
eef2e0585a,"1 İnsanlar dikiş makinelerinde, kumaş hizalamasını ayarlayan ve önceki dikiş ve kesme hatalarını telafi eden bilgisayarlardan daha iyi çalışır.",Makinelerin tamamen insanların yerini alması uzun zaman alacak.,tr,Turkish,1
54c102b8c3,إنهم يحبون الاختلاط بالآخرين ، خاصة في الحانات في المباني الشهيرة. يجتمعون كثيرًا وعادة ما يضعون العالم في المكان الذي ينبغي أن يكون فيه.,أحب التسكع مع الناس.,ar,Arabic,0
ffa2982cf3,Une voix rauque fit un appel pour un bateau qui venait du rivage sans être rayé et heurta la grosse coque rouge d'Arabella.,"Lorsque le navire est entré en collision avec l'Arabella, il y a eu un rugissement.",fr,French,1
cbcfabdc13,Một trong những chủ đề được thảo luận trong buổi phỏng vấn đầu vào là phản ứng của gia đình đối với các email quảng cáo.,Bị từ chối trong cuộc phỏng vấn nhập cư sẽ không cung cấp cho bạn công việc.,vi,Vietnamese,1
4171de21eb,"19. yüzyılın sonunda, terim hakkında çok tartışma yapıldı.","Kelime, 19. yüzyılın sonlarında terk edildi ve unutuldu.",tr,Turkish,2
1fffdd603b,Il y a une différence entre les soupçons diaboliques et les soupçons stupides.,Le scepticisme cannibale est plus courant que le scepticisme des haltères.,fr,French,1
7f6490d044,"(Dba) bir hayır kurumu, tamamen gönüllü, kar amacı gütmeyen bir kuruluştur, ücretsiz serbest meslek ve çalışma bilgileri ile toplumdaki engelli insanlara ve mesleki rehabilitasyon, mesleki ve iş danışmanlığı uzmanlarına yardım sağlar.",Her gün çalışan 20 gönüllü var.,tr,Turkish,1
d97015af15,Bu işlemi tamamladıktan sonra dua kitabı okunacaktır.,Dua ederken başka şeyler olacak.,tr,Turkish,0
31f4d37739,أخبرت الطبيب في رسالة ، من الواضح أنه أحب ذلك ، ثم قدم لي بعض الفاكهة كهدية عيد الميلاد.,أعطاني الطبيب زجاجة نبيذ عيد الميلاد.,ar,Arabic,2
3f44c0fa65,"Alors, quand vous êtes venu, le lieutenant-gouverneur l'a salué et a continué à faire une série de grognements dont le sens était ambigu, mais manifestement désobligeant.","Le lieutenant-gouverneur ne l'attendait pas, mais il le salua.",fr,French,0
9a6227905c,نوع مختلف ، مختلف تمامًا من المظلات ، وطائر يحلق بسرعة أكبر بثلاث مرات من الصوت ، أي أكثر من 22000 ميل في الساعة.,تطير بسرعة تزيد عن 20000 ميل في الساعة.,ar,Arabic,0
59b44e9258,"Paul alimpenda mpenda kufikiria wa Alan Greenspan (Alan Greenspan), ambaye kwa kweli alidhibiti kiwango cha ukosefu wa ajira kulingana na kanuni za kiuchumi.",Paul anafikiria Greenspan ndiye mwanauchumi bora anayejua.,sw,Swahili,1
d7577933fa,Literatürde sıklıkla kullanılan iki kavram gelecekteki araştırmalara yardımcı olabilir.,Değişen araştırma söz konusu olduğunda yapılacak hiçbir şey kalmadı.,tr,Turkish,2
518859bff9,โครงการปรับปรุงครั้งใหญ่คาดว่าจะแล้วเสร็จก่อนสิ้นปี 2544,โครงการที่กำหนดเองจะหมดอายุก่อนที่จะเริ่มในปี 2544,th,Thai,2
4ed441c081,На высокомерных губах офицера появилась тонкая резкая улыбка.,Офицер улыбнулся.,ru,Russian,0
524793438a,يعمل الموظفون على خطة لزيادة عدد طيور النحام في جزر فيرجن الأمريكية ، وستجد أن هناك قطيعًا صغيرًا هنا يمكنه التكاثر بنجاح كل عام.,يعمل الموظفون بجد لزيادة عدد طيور النحام في الجزيرة.,ar,Arabic,0
e9055d0373,"ہسپانوی میں لعنت اور قسمت اختیاری ہیں۔ مثال کے طور پر ، اقوام متحدہ کے لفظی لفظی معنی ""میڑک اور سانپ پھینک دیتے ہیں""۔",اوبر ساسس او کلوبر کا مطلب ہے فرانسیسی میں مینڈک اور سانپ پھینکنا۔,ur,Urdu,2
d8a1714cf7,Votre don au fonds annuel au niveau de l'Association Maennerchor est d'une grande aide pour l'école.,Maennerchor apprend à accepter les dons.,fr,French,0
b8199ce153,Тумери отказа да предприеме дисциплинарни мерки.,Според Тумери той не е бил дисциплиниран.,bg,Bulgarian,0
106b1d4688,Kuzeye gideceklerini söyledi.,Güneye gideceklerini söyledi.,tr,Turkish,2
bf63300b99,ไม่ต้องกังวลมิสเดอแรมพูลเมื่อฉันแก้ไขสคริปต์เสียงและพิมพ์อีกครั้งฉันจะกลับไปใช้ภาษาอังกฤษเชิงวิชาการแบบเดิมที่ใช้ในอดีต,ฉันพูดแบบเดิม ๆ,th,Thai,2
ee66c1453a,"Pour moi, c'est plus qu'un simple travail.",J'ai un travail.,fr,French,0
e488c73388,"Soweit ich weiß,",Mir wurden keine Informationen über das Sicherheitsprotokoll mitgeteilt.,de,German,1
981dcb6c93,میں ہمیشہ مشکور رہوں گا۔,میں ہمیشہ غصے اور نفرت سے معمور رہوں گا۔,ur,Urdu,2
b4a61ccf8f,يمكنك إلقاء نظرة على Paseo de Gracia في الشرق ، وخاصة شوارع Dipuccia و Concelle de Cent و Mallorca وفالنسيا ومعرض السوق.,يُطلق على السوق اسم نمس الشمام.,ar,Arabic,2
f833a2c68e,През последните две седмици след приемането на кралската заповед нищо не процъфтява.,Кралското назначение е много престижна титла с много отговорности.,bg,Bulgarian,1
0216b012c9,आप स्टार फेरी टर्मिनल के पास स्टार हाउस में इंटरस्टेलर कंप्यूटर सिटी भी देख सकते हैं।,"""सिटीज़ स्काई"" में कंप्यूटर सिटी सबसे प्रभावशाली चीज है।",hi,Hindi,1
5137be85ef,"Но те живеят в малък град извън Августа, наречен Евънс. Еванс все още съществува. Имам много роднини тук.",Те живеят в Атланта.,bg,Bulgarian,2
ac27fdf726,"Освен че внимателно проверява различни официални документи, чешкото правителство проверява и снимки на охранителни камери, направени пред иракското посолство.",Чешкото правителство видя снимките им.,bg,Bulgarian,0
1ee638f8a4,"राष्ट्रपति बुश ने बाद में इस प्रस्ताव की प्रशंसा की, इसे उनकी सोच का एक महत्वपूर्ण मोड़ बताया।",राष्ट्रपति बुश ने नए विचारों का प्रस्ताव देने पर भी अपनी स्थिति पर पुनर्विचार करने से इनकार कर दिया।,hi,Hindi,2
5937885cb5,"Гойстеринг - странный термин для обозначения громкого женского смеха. Известный как плохой работник, его оправдание таково: может быть, старый Лоуренс взял меня на себя сегодня!",Агуканы называют детским лепетом.,ru,Russian,2
edab59a3cb,"Cete de Charlevoix ni sehemu ya mlima wa Laurentian na hufikia Mto Saguenay, ambapo coureurs de bois waligeuka kutafuta manyoya.",Mto Saguenay ni sehemu ya soko la makaa ya mawe.,sw,Swahili,2
29a036e78d,"Para asesorarlo, no dude en comunicarse con Kathy Dannels, Directora de Desarrollo al 924-6770 ext.",Kathy Dannels respondió a la llamada de inmediato.,es,Spanish,1
030683c9a5,"Η βανίλια εξάγεται από τους σπόρους των τροπικών φυτών, δανείζεται από την ισπανική βανίλια και αντιπροσωπεύει λουλούδια, λοβό ή αρώματα.",Η βανίλια ονομάζεται στα ολλανδικά.,el,Greek,2
ebaccf9a1e,Lakini Wolfstone hatakata tamaa.,Wolfstone haijaisha,sw,Swahili,0
42aedbfcb3,"Организация родительско-детской деятельности - это первый шаг к реализации идей и методов, которые я буду обсуждать в этой книге.","Согласно этой книге, родители не должны проводить время со своими детьми.",ru,Russian,2
b4930f4b39,"1989 की राष्ट्रीय पोस्टल सेंसस ने 5 सितंबर से 2 अक्टूबर 1989 तक 24 दिनों की डिलीवरी की, जिसमें 46,197 ग्रामीण मार्गों में से 44,775 शामिल थे।",नेशनल मेल काउंट रिसर्च मेल।,hi,Hindi,0
00437d147f,پرفارمنس کے بعد ، ایک نوجوان جوڑے ہیلو کہنے کے لئے اسٹیج پر آئے۔,شو میں ایک نوجوان جوڑے۔,ur,Urdu,0
a2501a0452,Il y a eu un problème lorsque l'évêque a atterri.,"Depuis son arrivée, Bishop a des problèmes.",fr,French,0
a350a14135,خرگوش ان علامات سے متاثر نہیں ہوتے ہیں۔,حقیقت یہ ہے کہ ، ربیع نے ان علامات کو دیکھا۔,ur,Urdu,0
9724069fa7,"Avant de me donner une fessée, pourquoi ne pas me laisser boire d'abord un grand verre de chocolat au lait?",Je veux un verre de lait au chocolat.,fr,French,0
20dc6a9a96,¿Has estado en un museo en Europa?,¿Ha visitado algún museo europeo?,es,Spanish,0
b20c96d26b,Wanaweza pia kuwa watu wazuri baada ya mafunzo.,"Wakati wanapokea mafunzo, watakuwa wazuri sana",sw,Swahili,0
cc9508bbe8,"""Spektrum"" bölümündeki ziyaretçiler, çeşitli makineleri manipüle etmeye ve bilimsel deneylere katılmaya teşvik ediliyor.","Ziyaretçiler, yanlış yönlendirilmiş makinelerden nadiren etkilenirler.",tr,Turkish,1
f769a29351,Napoleon griff das Montserrat-Kloster in Katalonien an und zerstörte es.,Napoleon war für die Zerstörung des Klosters in Montserrat verantwortlich.,de,German,0
41bb1ee8b1,"Baada ya kufunguliwa kwa Congress ya Kidemokrasia mnamo Agosti 25 katika Jiji la Atlantic, New Jersey, Johnson mwenye umri wa miaka 56 alitishia kujiondoa kwenye uchaguzi wa urais katika mikutano mitatu iliyoandikwa.",Johnson hakuwahi kufikiria kukata tamaa.,sw,Swahili,2
6da1e60abf,Hekima inayotawala Washington wiki hii ni kwamba waandishi wachanga wenye bidii kama Kioo wanahitaji kuhurumiwa kwa sababu mfumo unawaruhusu kukaa imara kabla ya kuwa wasafiri.,Kioo ni mwandishi wa The Times.,sw,Swahili,1
c4ea45c125,لیکن وہ شخص اندر چلا گیا,آدمی عدالت میں داخل ہوا,ur,Urdu,1
37c9d1a41a,ถ้าฉันทำให้เรื่องราวไม่เหมือนใครฉันสามารถเขียนบทความเพื่อหลีกเลี่ยงอันตรายจากการอ่านและการเขียนหรืออันตรายจากการอ่านและการเขียนไม่เพียงพอ,หนังสือที่ฉันเขียนเกี่ยวกับอันตรายของการรู้หนังสืออาจมีชื่อเรื่องอื่น,th,Thai,1
605d71ed78,"Aa, hayır, dürüst olmak gerekirse, okumam gereken bir kitabı asla okumadım.",100 sayfadan fazla bir kitabı hiç okumadım.,tr,Turkish,1
444631ff75,"Ja, wenn ich einen Cocker Spaniel habe, ist es ein Hund im Freien. Nun, ich denke, ich mag diese Art von Hund besser, hehe","Ich glaube, ich bevorzuge Hunde im Freien wie die Cockerspaniels der Vergangenheit.",de,German,0
f2a7a035d8,По това време бяхте просто нещастен джентълмен.,"За съжаление сте, но сега сте в по-добра позиция.",bg,Bulgarian,1
86e15b8da1,ดังนั้นแม้ว่าจะมีโปรตีนที่แตกต่างกันจำนวนรูปทรงที่แตกต่างกันที่มีประสิทธิภาพอาจมีเพียง 100 ล้านคำสั่งเท่านั้น,รูปร่างของโปรตีนมีสองประเภทในจักรวาลทั้งหมด,th,Thai,2
9cc1c23e2b,"Sport ist nicht die einzige Veranstaltung, bei der Wetten auf diesen Websites platziert werden können.",Diese Websites akzeptieren nur Wetten auf Sportveranstaltungen.,de,German,2
335441e082,मैं सब गड़बड़ था।,मैंने इसे बिना किसी त्रुटि के किया।,hi,Hindi,2
470d1ea4f2,"Следовательно, стресс - это стресс Я имею в виду, у меня есть веская причина страдать сегодня, как будто вы не знаете, что делать, заплатив за это, например: сделайте это.","Мне сказали заменить распределительный щит в офисе, но я ничего не знал об электричестве.",ru,Russian,1
e48c245f6e,إنها لطيفة جدًا ، مثل الحشائش الزرقاء ، فهي مرحة جدًا ، أعني أنها كذلك,لقد مروا عامين.,ar,Arabic,1
30be02d519,"Chúng tôi chỉ còn cách tầm bắn của họ chưa đầy nửa dặm, và Wolfstone đã ném ra một lời nguyền đầy ẩn ý và sau đó đột nhiên trở nên im lặng.","Wolverstone cố gắng trở thành thuyền trưởng của con tàu của mình, và thực sự tiếp cận một trận chiến khác.",vi,Vietnamese,1
444a866bb3,Püskürtme tabancasını iki elinizle kontrol edin,Tutuşmayan tüm ateşli silahların yarısı tek elle kullanımın sonucudur.,tr,Turkish,1
4fa93ca5e5,เมื่อวันที่ 11 กันยายน FDNY และ NYPD ขาดการประสานงานหรือไม่? ผลพวงของภัยพิบัติยังกลายเป็นประเด็นถกเถียง,เมื่อวันที่ 11 กันยายนไม่มีการประสานงานระหว่าง FDNY และ NYPD,th,Thai,0
5c1b056362,"Kila siku, karibu watu 100,000 hushangaa jengo hilo na kutazama vituko vya jiji hili linalobadilika kila wakati.","Takriban watu 100,000 huja katika jiji hili kwa ukaguzi kila siku.",sw,Swahili,0
5e303d8eb7,"अगले पचास वर्षों में, क्या कोई विश्व व्यापार संगठन को याद रखेगा?",विश्व व्यापार संगठन ने इतिहास पर कोई अविस्मरणीय प्रभाव नहीं छोड़ा है।,hi,Hindi,1
a2a8b36437,"Ως αποτέλεσμα, οι κυβερνητικοί υπεύθυνοι χάραξης πολιτικής και οι διαχειριστές υιοθετούν νέους τρόπους σκέψης, αναζητούν διαφορετικούς τρόπους επίτευξης στόχων και χρησιμοποιούν νέες πληροφορίες για να καθοδηγήσουν τη λήψη αποφάσεων.",Οι κυβερνητικοί αξιωματούχοι αρνήθηκαν να αλλάξουν τον τρόπο ζωής τους.,el,Greek,2
eb72892f8a,"Kulingana na matumizi ya jumla ya kazi za kibinafsi za CR katika maeneo anuwai, haiwezekani kujua kiwango cha kupotoka au mwelekeo wa mabadiliko ya jumla ya hafla hiyo.",Kawaida kuna upendeleo.,sw,Swahili,2
6300547163,"En outre, une enquête menée par l'Anti-Defamation League montre que le nombre de brevets antisémites aux États-Unis continue de baisser. De 29% en 1964 à 20% en 1992, à 12% maintenant.",Une enquête menée par l'Anti-Defamation League montre que les États-Unis ont encore des antisémites convaincus.,fr,French,0
6d118bd554,ผู้หญิงยุคใหม่ชอบผอม แต่พวกเขาต้องการเห็นความได้เปรียบในรูปลักษณ์ ไม่มีอารมณ์โรแมนติกหรือความคิดในสายเลือด,ผู้หญิงสมัยนี้อยากหุ่นเพรียว,th,Thai,0
6952c9d312,"Ну-ну, информатика и когнитивная наука, вообще говоря ...",Есть еще экологическая наука.,ru,Russian,1
df3b0c4fc9,لذا ، كل هذا التوتر ، أعني ، لدي سبب وجيه لأكون غاضبًا اليوم ، يبدو الأمر وكأنه شيء أعطيته لي ، أنت لا تعرف ماذا أفعل ، لذا ، خذها.,اليوم ، طُلب مني أداء المهام التي تدربت عليها جيدًا فقط.,ar,Arabic,2
e02d2aaf45,"Utukufu wa Juu ulikwenda kwa Riven-au kupandishwa hadhi kuwa mchezo bora wa kompyuta, Myst-kuhusu mtu aliyegongwa na kisiwa","Kwa kusikitisha, mchezo wa kompyuta ""Myst"" (Myst) bado haujatolewa kwa umma.",sw,Swahili,2
85a9d231a3,Τότε το δεύτερο πράγμα που θα μπορούσα να δω είναι τι μπορούν να αντέξουν οικονομικά,"Επίσης, εξέτασα τους πόρους που μπορούν να διαθέσουν.",el,Greek,0
2ac18615fa,Nuestros hospitales universitarios y proyectos de investigación no cuentan con el apoyo de ningún país.,El proyecto de investigación no puede obtener fondos del estado porque están experimentando con personas.,es,Spanish,1
fa90491bf8,คำศัพท์ที่ไม่อยู่ในรายชื่อคือเรียนช้าผู้ที่เป็นโรคเกี่ยวกับระบบประสาทซึ่งเป็นที่น่าสงสัย ผู้ที่ได้รับบาดเจ็บทางสมองและความบกพร่องทางการศึกษา,ผู้ที่มีความบกพร่องทางสติปัญญาต่างๆออกจากรายการโดยไม่ทราบสาเหตุ,th,Thai,0
42adf1137a,สำหรับพนักงาน GAO ผู้เผยแพร่โฆษณาและสาธารณชนการทำสิ่งอื่นใดอาจทำให้คุณได้รับข้อมูลที่เป็นอันตราย,ไม่ว่าคุณจะทำอะไรพนักงานจะได้ยินในสิ่งที่พวกเขาต้องการฟัง,th,Thai,2
a0a110514f,"लॉरेल पुष्पांजलि की जैतून शाखाएं विजय और शांति का प्रतीक हैं, और माउस के पत्तों से बने गठबंधन की सीमा से सजाया गया है।","लॉरेल माल्यार्पण, जैतून की शाखाओं और चूहे कालीन की सीमा पर छोड़ देते हैं।",hi,Hindi,0
a110a366ae,Prochains événements à ne pas manquer,Il y aura de très bonnes comédies musicales à venir en ville l'année prochaine.,fr,French,1
a82ff31079,Los lingüistas muestran que la primera lengua lingua franca (llamada linguafranca mediterránea por muchos lingüistas) se utilizó antes de que comenzara la primera cruzada en 1096. C.,"Según Lingua Franca, esto se dijo después de la primera Cruzada.",es,Spanish,0
ebcbb38fd0,Ние не сме истински натуралисти или подобни хора,"Ние сме напълно истински натуралисти и сме обидени, че ни виждаме като други хора!",bg,Bulgarian,2
ac54e3b779,Изогнутая дорожка Беты ведет прямо к парку Гонконга.,Эта дорога находится в 8 км от парка Гонконга.,ru,Russian,1
0905e1f134,Bei der Explosion wurden sechs Menschen getötet und etwa tausend weitere verletzt. Außerdem wurden Schwachstellen in der Notfallvorsorge des World Trade Centers und der Stadt entdeckt.,"Es wurden Vorkehrungen getroffen, um Sicherheitsprobleme nach der Explosion zu beheben.",de,German,1
96f2203545,"Oui, ce gars est là.",Ce type est venu il y a deux minutes.,fr,French,1
2e02a02a9d,"Столицата Ляонин, известна тогава като Яннин, днес заема югоизточната част на съвременната столица. Единственият оцелял паметник е храмът Фаюан.",До днес столицата на Ляоду не е оцеляла в Пекин.,bg,Bulgarian,2
477d38dd16,"اس نے کہا ، ""ماں ، میں گھر ہوں۔""",اس نے کچھ نہیں کہا,ur,Urdu,2
a711959270,"Из-за противостояния с техасскими рейнджерами несколько героев Теджано, такие как Грегорио Кортес, Хуан Кортина и Каталино Гарса, стали бессмертными.","Хуан Кортина возглавляет команду, которая столкнулась с Техасскими Рейнджерс.",ru,Russian,1
0a90ad078f,"Un côté du canal d'entrée est le mur de la cuisine co, et l'autre côté est la salle de stockage, menant à l'espace de vie principal.",L'espace de vie est situé en haut d'un petit escalier dans le grenier.,fr,French,2
8a15d6de04,"Kwa hivyo, nilimpigia U-Haul na kuuliza juu ya sera yake ya kukodisha.",Nilipiga simu U-Haul na kuuliza juu ya sera yao ya pili ya dereva,sw,Swahili,1
c3cdb1238d,"Jane verlangt, dass der Mihdhar Search zugewiesene New Yorker Agent ein FISA-Bestätigungsformular unterschreibt, das angibt, dass der Agent versteht, wie er mit FISA-Informationen umgeht.","Jane bat darum, das FISA-Bestätigungsformular zu unterschreiben.",de,German,0
652a52800c,"Para obtener el pasaporte limpio y los dos pasaportes dañados, consulte el Informe de inteligencia, Interrogatorio de KSM, 3 de julio de 2003. 9 de septiembre de 2003.","KMS obtuvo un ""pasaporte limpio"", alegando que era ciudadano estadounidense.",es,Spanish,1
1ea54a03a4,न्यू रिपब्लिक के चार्ल्स लेन ने कहा कि अपहरण की खबर केवल गैबील गक्का मैक्ज़ के बारे में बेईमान समाचार के रिकॉर्ड का विस्तार करेगी।,चार्ल्स लेन ने पुलित्जर पुरस्कार जीता।,hi,Hindi,1
c129b77cb3,Видяхте ли този любопитен звяр там?,Виждали ли сте онзи любопитен звяр?,bg,Bulgarian,0
2524e9e57d,Bu çılgın salgın otuz yıl sürdü ve gittikçe daha çok Rokoko tarzına dönüştü.,O sırada çılgınlığı fark etmedim.,tr,Turkish,1
